"Year","mean.pop.males","mean.pop.females","mean.pop.overall","mean.prev.males","mean.prev.females","mean.prev.overall","mean.new.infections","mean.new.infections.females","mean.new.infections.overall","mean.plhiv.diagnosed.males","mean.plhiv.diagnosed.females","mean.plhiv.diagnosed.overall","mean.plhiv.onart.males","mean.plhiv.onart.females","mean.plhiv.onart.overall"
2020.5,5000607.5552181825,5062033.436853166,10062640.99207135,0.07417687412994176,0.11361418770557369,0.09389553091775772,12645.467030570231,18602.29262692656,15623.879828748395,0.8857242263379922,0.9371703148896343,0.9371703148896343,0.8985593177654239,0.9371703148896343,0.9371703148896343
2021.5,5182188.327495795,5247127.910612551,10429316.238108346,0.07220698139731445,0.11147935375211528,0.09184316757471486,12896.977776747559,18714.503839066805,15805.740807907183,0.8998838547685192,0.9415844182988914,0.9415844182988914,0.9035849426255289,0.9415844182988914,0.9415844182988914
2022.5,5369723.811649011,5439908.981666116,10809632.793315127,0.07025784137849372,0.10936721018834189,0.08981252578341781,12573.333641766754,18567.26344137145,15570.298541569102,0.9104258608160704,0.9449995465991251,0.9449995465991251,0.9052285452810364,0.9449995465991251,0.9449995465991251
2023.5,5568930.979441982,5640990.937706378,11209921.917148361,0.06831206229707244,0.10720073410293775,0.0877563982000051,12378.176630934247,18171.97900963826,15275.077820286253,0.9195262506825075,0.9481909867718419,0.9481909867718419,0.9069853678911693,0.9481909867718419,0.9481909867718419
2024.5,5776273.545680003,5852812.603610128,11629086.149290131,0.0665527595826501,0.10493955850856909,0.08574615904560959,12935.134141695744,18293.041294858496,15614.08771827712,0.926579119314336,0.950738395154623,0.950738395154623,0.9072379356939808,0.950738395154623,0.950738395154623
2025.5,5995739.622616546,6078359.391689104,12074099.01430565,0.06490733372257654,0.1027044626683932,0.08380589819548487,13415.296277363967,18506.551418474246,15960.923847919106,0.9303317628298321,0.9529220406334855,0.9529220406334855,0.9090192340572237,0.9529220406334855,0.9529220406334855
2026.5,6191250.567299823,6277372.731133511,12468623.298433334,0.06318852216456187,0.10059801274280242,0.08189326745368214,12718.28842664559,18150.4645077622,15434.376467203896,0.9363777265889701,0.9553770526385674,0.9553770526385674,0.9092929073759192,0.9553770526385674,0.9553770526385674
2027.5,6388928.141670005,6476329.83605162,12865257.977721624,0.06151227443361742,0.09853023900617588,0.08002125671989666,13057.83375515523,18921.14948889735,15989.491622026291,0.9402913089106101,0.9568178819208555,0.9568178819208555,0.9091568676424515,0.9568178819208555,0.9568178819208555
2028.5,6594508.860465838,6684350.729940391,13278859.59040623,0.05977270948873361,0.09648516240168006,0.07812893594520684,13180.290058509869,18540.193517705145,15860.241788107507,0.9416802386011875,0.9577039700034197,0.9577039700034197,0.908170227265331,0.9577039700034197,0.9577039700034197
2029.5,6810055.76334953,6903533.057379811,13713588.820729341,0.058000597517918875,0.0941702539314869,0.0760854257247029,13084.863040550461,18296.652292231593,15690.757666391026,0.9446588032575249,0.9593107716634146,0.9593107716634146,0.9085658749092879,0.9593107716634146,0.9593107716634146
2030.5,7033165.829738976,7129795.807328083,14162961.637067059,0.05616631865854643,0.09174413417817917,0.0739552264183628,12837.221341608714,17892.375615085053,15364.798478346884,0.9476085518828851,0.9603360466693516,0.9603360466693516,0.9080530884260958,0.9603360466693516,0.9603360466693516
2031.5,7237872.870420897,7338286.3895008555,14576159.259921752,0.054468658785881016,0.08954230637464979,0.0720054825802654,12846.138134459627,18038.86086780494,15442.499501132283,0.9503687072384742,0.9614664448345039,0.9614664448345039,0.9082034994646515,0.9614664448345039,0.9614664448345039
2032.5,7443941.720264011,7548256.829442837,14992198.549706848,0.05282098702122514,0.08738614453629158,0.07010356577875836,12708.933351865877,17463.310109569036,15086.121730717457,0.9523430524026387,0.9632159360811432,0.9632159360811432,0.908274620998994,0.9632159360811432,0.9632159360811432
2033.5,7656728.585215988,7765741.771260435,15422470.356476422,0.05109396158971507,0.08500174196585156,0.0680478517777833,12607.594085702709,17173.804072067298,14890.699078885003,0.9543983581554051,0.9638170070838965,0.9638170070838965,0.9077160367510578,0.9638170070838965,0.9638170070838965
2034.5,7878258.959929833,7991738.843462952,15869997.803392787,0.04937882095150712,0.08266587529380924,0.06602234812265818,12460.69384002727,17502.550390250177,14981.622115138724,0.9544202725895742,0.9644610086858687,0.9644610086858687,0.9070428466905737,0.9644610086858687,0.9644610086858687
2035.5,8108850.022833777,8225546.13202568,16334396.154859455,0.04757872366220557,0.08026417347995207,0.06392144857107883,12994.548791576977,18036.09242377046,15515.320607673717,0.9557679027376337,0.9655674662384137,0.9655674662384137,0.9075175781646173,0.9655674662384137,0.9655674662384137
